c1,c2,net,dist
7,72,-6,1738
8,17,-6,1023
8,34,-6,701
8,45,-6,823
9,14,-6,902
11,22,-6,1359
11,25,-6,1324
11,31,-6,924
11,46,-6,1622
11,47,-6,1374
11,70,-6,1205
12,46,-6,1629
13,30,-6,704
13,36,-6,1945
13,40,-6,412
13,73,-6,936
14,49,-6,501
14,72,-6,1136
15,17,-6,223
17,49,-6,1037
18,19,-6,1420
18,21,-6,874
18,27,-6,412
20,26,-6,1271
20,34,-6,1243
24,36,-6,1983
25,46,-6,624
25,59,-6,305
25,64,-6,1660
26,33,-6,657
26,46,-6,2152
26,54,-6,1585
26,65,-6,472
29,47,-6,1420
30,73,-6,1235
31,49,-6,1030
35,37,-6,1253
35,53,-6,2382
35,65,-6,1571
36,40,-6,1902
36,73,-6,1822
37,46,-6,1332
38,70,-6,2358
38,73,-6,1204
39,55,-6,1197
39,58,-6,1137
40,56,-6,529
41,43,-6,1805
41,45,-6,1483
43,63,-6,938
44,49,-6,1212
44,53,-6,1043
46,63,-6,1392
47,73,-6,1697
49,65,-6,438
49,71,-6,1051
50,53,-6,2374
51,57,-6,2069
51,62,-6,2396
51,70,-6,646
52,69,-6,546
57,65,-6,1459
57,72,-6,1863
57,73,-6,1070
58,72,-6,2003
59,71,-6,2166
62,67,-6,1411
62,72,-6,2052
64,72,-6,605
64,73,-6,756
67,71,-6,1082
0,9,-5,1821
0,27,-5,2311
2,46,-5,1885
2,54,-5,1600
2,73,-5,1226
5,36,-5,1160
5,57,-5,540
5,70,-5,1709
6,15,-5,1387
6,43,-5,1106
6,46,-5,1706
6,66,-5,1764
7,16,-5,1072
7,22,-5,2207
7,26,-5,1730
7,29,-5,1215
7,30,-5,1277
7,53,-5,2166
7,69,-5,1062
9,63,-5,586
9,70,-5,719
10,43,-5,429
11,62,-5,1439
11,72,-5,987
13,17,-5,441
14,36,-5,997
15,23,-5,407
15,64,-5,754
16,20,-5,862
16,40,-5,648
16,71,-5,1018
18,51,-5,125
18,73,-5,1080
19,30,-5,709
19,40,-5,1115
19,46,-5,1024
20,29,-5,656
20,30,-5,1143
20,33,-5,834
20,36,-5,1360
20,64,-5,970
22,63,-5,1257
23,36,-5,1981
25,32,-5,2445
25,60,-5,168
26,35,-5,1944
26,71,-5,357
27,46,-5,2295
27,56,-5,931
28,39,-5,1033
29,68,-5,146
30,39,-5,904
30,46,-5,1400
31,73,-5,1040
32,71,-5,423
33,34,-5,472
35,64,-5,1621
38,67,-5,1208
40,61,-5,1998
41,42,-5,1521
43,45,-5,658
43,56,-5,934
44,48,-5,1063
44,70,-5,815
45,55,-5,1082
46,48,-5,1831
48,67,-5,349
50,67,-5,1183
54,68,-5,836
55,64,-5,655
55,69,-5,958
57,64,-5,1486
57,68,-5,1091
58,65,-5,1660
60,65,-5,1729
61,64,-5,1743
62,73,-5,1452
63,73,-5,694
65,71,-5,678
66,70,-5,467
66,71,-5,608
0,19,-4,944
0,34,-4,1962
0,40,-4,2037
0,48,-4,1561
0,65,-4,1701
1,4,-4,195
1,40,-4,206
2,25,-4,1871
3,27,-4,1358
4,68,-4,1347
5,17,-4,1558
5,27,-4,1508
5,28,-4,1248
5,65,-4,928
5,68,-4,610
6,61,-4,1428
7,18,-4,1958
7,32,-4,2217
7,45,-4,1507
7,71,-4,2021
8,13,-4,592
8,18,-4,895
8,21,-4,1171
8,23,-4,757
8,70,-4,1184
9,15,-4,603
9,37,-4,465
9,67,-4,813
11,13,-4,615
11,26,-4,714
11,60,-4,1483
12,54,-4,1434
12,69,-4,592
13,54,-4,1454
14,34,-4,1036
14,37,-4,437
14,42,-4,993
