,Alameda,Allegheny,Allen,Arapoe,Baltimore City,Bernalillo,Bexar,Clark,Collin,Cook,Cuyahoga,Dallas,Dane,Davidson,Denver,District of Columbia,Douglas,Durham,Duvall,El Paso CO,El Paso TX,Erie,Essex,Fayette,Franklin,Fresno,Fulton,Guilford,Hamilton,Harris,Hennepin,Hillsborough,Hudson,Jackson,Jefferson,Kern,King,Lancaster,Los Angeles,Lubbock,Lucas,Maricopa,Marion,Mecklenburg,Miami-Dade,Milwaukee,Multnomah,New York,Nueces,Oklahoma,Orange_CA,Orange_FL,Orleans Parish,Philadelphia,Pima,Pinellas,Ramsey,Riverside,Sacramento,San Diego,San Francisco,San Joaquin,Santa Clara,Sedgwick,Shelby,St. Louis City,Suffolk,Tarrant,Travis,Tulsa,Virginia Beach City,Wake,Wayne,Webb
32,671,1016,293,980,763,828,340,236,201,1421,846,310,791,750,619,603,703,594,838,625,105,833,505,768,908,336,874,967,839,1208,856,572,720,853,917,124,1052,651,1274,881,723,436,1157,1117,1293,1144,765,1297,58,386,1159,951,989,890,391,684,545,337,287,718,463,197,644,221,347,323,193,327,116,184,153,235,452,14
33,608,926,469,1017,775,854,307,248,206,1433,760,325,786,649,754,561,620,569,920,634,114,778,537,733,884,285,839,942,870,1240,868,467,671,945,853,138,1156,739,1488,630,1000,425,984,1164,1235,1080,696,1252,57,391,1140,868,982,1033,472,676,543,321,207,742,517,207,659,226,330,365,249,305,148,217,147,231,500,5
34,629,830,434,965,728,764,310,303,235,1465,920,331,767,780,799,653,559,587,859,702,125,810,508,770,879,317,912,974,1009,1165,741,514,786,1027,891,112,1068,500,1436,800,848,503,1031,1027,1340,1142,703,1266,49,389,1163,834,972,1052,464,632,493,296,249,788,445,258,642,202,290,345,233,321,116,213,118,218,527,2
35,679,902,402,962,804,775,287,261,199,1465,775,294,795,738,691,700,597,544,914,658,133,804,497,706,975,286,773,1003,1014,1084,776,437,807,1019,1071,84,986,631,1455,775,957,389,938,1323,1289,1151,682,1177,65,394,1092,922,1024,1092,432,548,632,300,245,816,508,285,665,188,320,347,247,316,113,187,118,240,488,1
36,656,823,448,982,620,741,281,232,237,1405,879,305,828,861,729,636,772,573,939,684,112,712,613,563,1012,256,803,964,985,1301,683,539,716,1100,838,109,1164,528,1314,700,1077,414,974,991,1437,1071,769,1072,67,392,1201,943,1102,1016,427,622,516,312,237,840,491,257,670,211,374,418,249,300,128,200,134,233,520,1
37,644,858,472,930,721,778,279,262,202,1446,761,346,715,773,829,639,703,643,966,685,117,712,689,585,1001,286,786,923,1120,1168,908,435,825,831,1015,120,1151,483,1460,615,1018,394,1054,971,1341,1239,747,1253,38,459,1069,870,976,1047,468,626,529,295,228,765,510,242,560,215,364,357,252,343,136,201,143,228,489,4
38,657,807,521,905,680,787,263,251,192,1399,801,315,744,817,794,710,794,632,971,749,92,659,619,642,841,283,819,895,796,1221,994,502,669,982,1091,114,1155,526,1274,658,1185,382,1038,1022,1376,936,903,1222,39,391,1137,936,1063,1059,487,542,490,303,280,796,521,307,623,238,327,407,229,330,130,197,143,208,448,3
39,712,830,520,960,843,813,290,215,235,1379,789,317,726,749,809,684,813,549,1056,667,120,720,545,585,1036,330,885,959,910,1181,875,589,820,950,1060,127,1063,531,1338,708,947,446,940,1001,1247,976,996,1228,51,410,991,910,983,950,410,545,522,320,259,741,575,296,557,210,323,376,213,296,139,233,155,293,487,5
40,583,802,578,876,841,794,333,228,214,1397,738,398,726,801,783,636,822,628,955,693,111,753,582,523,1023,348,864,786,843,1078,1109,464,733,962,1011,121,1143,456,1390,677,1022,430,1201,948,1144,977,992,1217,35,471,1081,822,1037,830,486,731,686,284,259,765,710,288,596,269,337,341,188,261,121,240,138,237,388,6
41,684,763,558,874,812,742,325,164,240,1479,758,315,764,706,734,691,904,605,977,629,108,696,559,525,1023,339,699,806,852,1296,1001,476,789,1005,1066,124,961,460,1393,550,1069,392,1307,984,1208,1012,1033,1136,44,457,1154,815,1000,751,462,771,769,318,219,735,583,276,646,256,355,401,154,307,124,271,142,240,483,5
42,631,725,523,852,767,791,318,208,217,1481,767,304,752,656,630,682,631,735,932,739,126,785,523,612,872,356,775,934,841,1200,863,504,838,1078,1128,126,949,446,1313,616,1198,382,1228,1169,1112,869,1128,1249,41,432,1115,799,999,733,440,743,736,304,229,741,636,289,713,246,314,446,230,326,116,181,159,197,431,4
43,554,731,528,843,768,730,277,232,203,1338,775,364,811,638,739,678,638,813,1044,757,110,667,607,621,1068,383,764,881,759,1114,861,481,933,1101,1106,112,865,474,1415,631,1047,357,1205,1126,1188,861,1045,1176,47,456,1235,798,1021,770,399,688,715,275,244,820,566,265,602,267,345,350,212,320,139,192,118,239,473,1
44,588,774,516,881,786,777,292,177,231,1418,762,287,815,623,749,652,708,737,1008,676,146,783,613,675,1065,296,773,849,1025,1418,813,516,723,1023,873,115,1050,452,1354,690,1087,404,1151,1042,1167,809,1050,1219,43,461,1059,726,1037,771,423,670,694,309,276,838,456,292,620,222,300,386,185,306,103,220,131,237,418,3
45,653,778,540,893,723,786,310,214,218,1332,703,274,790,673,755,657,709,621,834,721,87,761,606,687,944,385,755,919,1036,1150,1043,437,792,960,976,107,1223,472,1365,798,927,330,1006,1041,1067,824,1120,1233,37,430,1118,838,972,787,475,688,713,288,232,884,487,326,580,207,348,349,155,349,102,206,152,215,469,3
46,637,689,580,886,761,806,284,188,199,1382,809,293,789,677,678,658,653,773,950,680,99,773,697,611,853,420,620,946,929,1170,1000,496,744,1010,1067,159,1104,408,1289,637,1012,361,1107,949,1069,854,1143,1288,54,436,1113,767,1015,720,459,748,572,324,271,860,494,278,642,230,315,313,167,305,122,186,109,246,441,8
47,655,669,540,809,710,814,255,207,225,1352,842,314,815,727,636,640,652,566,1168,716,104,712,641,648,1023,418,810,744,927,1147,850,482,785,1021,1018,107,1064,640,1184,663,1000,415,1118,1000,1041,1052,1093,1202,36,438,1054,791,879,913,482,635,600,289,231,721,424,274,624,241,389,356,161,283,107,203,133,187,419,
