county1, county2, distance, netmig
1,39,1290,-12
3,24,1130,-12
6,28,1042,-12
6,37,790,-12
6,45,1105,-12
7,29,1215,-12
7,33,1145,-12
7,56,1295,-12
9,43,592,-12
11,29,217,-12
11,42,764,-12
13,21,625,-12
13,36,1945,-12
14,21,1369,-12
14,28,1083,-12
14,42,993,-12
16,28,629,-12
19,27,1366,-12
19,39,390,-12
19,42,983,-12
19,46,1024,-12
21,40,264,-12
23,46,2003,-12
31,64,672,-12
33,56,420,-12
41,64,1293,-12
49,65,438,-12
50,56,1523,-12
50,65,1555,-12
50,72,1954,-12
51,53,868,-12
54,67,846,-12
57,67,1082,-12
3,45,880,-11
5,24,1336,-11
6,16,829,-11
6,34,952,-11
7,10,1820,-11
7,37,1038,-11
8,13,592,-11
8,24,884,-11
8,56,838,-11
9,39,951,-11
16,17,999,-11
16,40,648,-11
19,23,1084,-11
24,42,167,-11
24,46,2016,-11
28,72,223,-11
31,53,929,-11
31,65,876,-11
34,40,259,-11
38,68,1222,-11
38,71,2226,-11
40,45,240,-11
41,68,887,-11
41,71,1923,-11
41,72,1699,-11
45,64,550,-11
51,69,997,-11
54,68,836,-11
59,65,1517,-11
0,19,944,-10
0,57,426,-10
1,71,331,-10
3,16,444,-10
3,56,683,-10
5,14,339,-10
5,16,714,-10
6,63,572,-10
7,11,1064,-10
7,21,1972,-10
7,64,1407,-10
7,71,2021,-10
8,14,647,-10
8,42,735,-10
8,43,909,-10
8,53,1274,-10
11,23,782,-10
11,30,863,-10
13,17,441,-10
14,73,887,-10
15,28,404,-10
18,24,670,-10
19,28,1071,-10
20,28,1320,-10
30,63,546,-10
31,72,994,-10
32,34,643,-10
33,34,472,-10
35,68,1261,-10
38,52,1677,-10
38,67,1208,-10
41,43,1805,-10
41,45,1483,-10
41,46,993,-10
42,45,241,-10
46,61,529,-10
51,52,524,-10
51,56,1308,-10
54,61,670,-10
54,63,898,-10
59,60,456,-10
63,69,135,-10
63,73,694,-10
0,3,955,-9
0,10,2141,-9
3,19,57,-9
4,72,405,-9
5,7,475,-9
5,13,1117,-9
5,56,992,-9
7,48,1172,-9
7,65,1354,-9
8,27,973,-9
8,30,833,-9
8,33,420,-9
10,71,422,-9
11,17,1043,-9
11,24,911,-9
11,27,994,-9
11,34,728,-9
13,40,412,-9
13,73,936,-9
14,17,1436,-9
14,39,457,-9
15,23,407,-9
15,36,2299,-9
16,23,660,-9
16,24,695,-9
16,42,535,-9
18,21,874,-9
20,25,838,-9
20,43,1480,-9
22,24,464,-9
22,46,2414,-9
22,72,479,-9
25,45,1724,-9
25,56,1491,-9
32,53,76,-9
33,70,1008,-9
35,64,1621,-9
42,72,228,-9
44,65,1068,-9
48,68,180,-9
50,73,1166,-9
52,64,356,-9
56,73,1241,-9
