c1,c2,dis,nm
4,21,262,-9
5,17,1558,-9
5,46,1098,-9
6,22,1572,-9
7,38,223,-9
7,59,240,-9
8,19,590,-9
8,71,1034,-9
9,13,396,-9
9,67,813,-9
9,68,969,-9
10,16,751,-9
10,43,429,-9
10,61,2102,-9
11,51,960,-9
11,66,1547,-9
12,35,1648,-9
13,34,152,-9
14,16,469,-9
14,19,67,-9
14,22,1608,-9
14,53,1570,-9
16,28,629,-9
16,42,535,-9
16,56,300,-9
18,21,874,-9
18,23,556,-9
19,22,1605,-9
19,40,1115,-9
20,68,510,-9
21,24,294,-9
21,56,732,-9
22,36,2365,-9
22,56,995,-9
22,73,1683,-9
23,48,1043,-9
23,73,1115,-9
25,69,1315,-9
26,48,886,-9
27,30,945,-9
28,39,1033,-9
28,61,1973,-9
30,67,869,-9
31,65,876,-9
32,42,640,-9
33,42,441,-9
33,43,788,-9
37,40,679,-9
37,42,559,-9
40,56,529,-9
47,71,430,-9
48,53,1538,-9
49,55,1009,-9
49,64,423,-9
50,52,1649,-9
50,58,384,-9
50,60,383,-9
50,69,1245,-9
50,73,1166,-9
51,52,524,-9
51,71,525,-9
54,58,693,-9
57,61,413,-9
59,70,2303,-9
60,73,1503,-9
61,71,2341,-9
62,64,1770,-9
68,69,414,-9
0,25,137,-8
0,42,1920,-8
1,54,1852,-8
3,14,29,-8
5,43,1455,-8
5,53,1751,-8
5,64,946,-8
5,69,606,-8
